batch_id,print_id,tile_id,P1_x,P1_y,δP1,P2_x,P2_y,δP2,P3_x,P3_y,δP3,P4_x,P4_y,δP4,P5_x,P5_y,δP5,latency_ms,timestamp
35,SI266220200309225433,3,498,94,11481,498,93,11025,498,95,9803,383,168,9428,499,94,9403,5159,2025-07-07T13:26:03.953037729Z
36,SI266220200309225433,4,272,346,7344,271,345,7311,425,369,7291,272,345,7274,425,368,7249,5247,2025-07-07T13:26:03.961153417Z
38,SI266220200309225433,6,1,252,6453,0,0,0,0,0,0,0,0,0,0,0,0,5546,2025-07-07T13:26:03.968805100Z
39,SI266220200309225433,7,1,94,11652,1,95,11171,1,93,10661,1,96,10464,1,97,9850,5612,2025-07-07T13:26:03.972415230Z
40,SI266220200309225433,8,468,326,6157,0,0,0,0,0,0,0,0,0,0,0,0,5663,2025-07-07T13:26:03.975718005Z
41,SI266220200309225433,9,169,498,11962,170,498,11385,168,498,10853,167,498,9210,169,497,9207,5707,2025-07-07T13:26:03.980406299Z
42,SI266220200309225433,10,169,1,11429,170,1,11295,168,1,10217,161,1,9596,160,1,9538,5775,2025-07-07T13:26:03.983717946Z
50,SI266220200309225433,2,498,168,13505,498,167,13128,498,169,12846,498,170,12313,498,183,11909,6144,2025-07-07T13:26:04.009046386Z
51,SI266220200309225433,3,498,179,13536,498,178,13164,498,167,13073,498,160,12885,498,173,12865,6207,2025-07-07T13:26:04.012484894Z
52,SI266220200309225433,4,188,347,6681,187,347,6590,189,347,6050,0,0,0,0,0,0,6248,2025-07-07T13:26:04.015771048Z
53,SI266220200309225433,5,349,469,13262,349,468,13181,348,469,12338,350,469,12336,349,467,12306,6291,2025-07-07T13:26:04.019852519Z
54,SI266220200309225433,6,1,167,14455,1,168,14445,1,169,13575,1,166,12544,1,170,12544,6405,2025-07-07T13:26:04.029268718Z
55,SI266220200309225433,7,1,148,13433,1,160,13375,1,179,13238,1,173,13183,1,178,13183,6482,2025-07-07T13:26:04.033311954Z
56,SI266220200309225433,8,498,314,6346,498,355,6165,498,315,6078,0,0,0,0,0,0,6531,2025-07-07T13:26:04.036894118Z
57,SI266220200309225433,9,81,498,15745,169,498,15025,140,498,14759,82,498,14714,168,498,14453,6577,2025-07-07T13:26:04.040478212Z
58,SI266220200309225433,10,104,1,16192,105,1,15987,103,1,15436,106,1,15260,104,2,15135,6648,2025-07-07T13:26:04.045069056Z
60,SI266220200309225433,12,1,314,6072,1,315,6046,0,0,0,0,0,0,0,0,0,6758,2025-07-07T13:26:04.051914543Z
61,SI266220200309225433,13,41,456,9365,42,456,9193,42,457,8736,41,455,8296,40,455,8199,6815,2025-07-07T13:26:04.056143926Z
62,SI266220200309225433,14,1,1,7330,1,2,6025,0,0,0,0,0,0,0,0,0,6869,2025-07-07T13:26:04.060994212Z
66,SI266220200309225433,2,498,162,6210,498,161,6035,0,0,0,0,0,0,0,0,0,7035,2025-07-07T13:26:04.078970866Z
67,SI266220200309225433,3,498,94,11700,498,93,11444,498,95,10079,499,94,9275,499,93,8866,7078,2025-07-07T13:26:04.081780843Z
70,SI266220200309225433,6,1,162,7598,1,161,7441,1,167,7086,351,464,6875,351,465,6711,7238,2025-07-07T13:26:04.092908011Z
71,SI266220200309225433,7,1,93,11302,1,94,11249,440,93,10403,440,94,9852,439,93,9836,7304,2025-07-07T13:26:04.097070664Z
72,SI266220200309225433,8,498,314,7040,498,313,6964,498,315,6283,498,355,6206,0,0,0,7358,2025-07-07T13:26:04.100522069Z
73,SI266220200309225433,9,251,498,9553,250,498,9424,252,498,8619,251,499,7639,498,498,7635,7397,2025-07-07T13:26:04.109000485Z
74,SI266220200309225433,10,250,1,9827,251,1,9594,498,1,8527,252,1,8461,104,1,8024,7453,2025-07-07T13:26:04.113281987Z
76,SI266220200309225433,12,1,314,6529,1,313,6316,151,383,6295,151,384,6180,151,382,6015,7555,2025-07-07T13:26:04.119293749Z
77,SI266220200309225433,13,1,498,8035,2,498,6441,1,497,6239,1,499,6208,0,498,6045,7593,2025-07-07T13:26:04.121675426Z
78,SI266220200309225433,14,1,1,8133,2,1,6846,1,2,6630,29,1,6401,30,1,6208,7651,2025-07-07T13:26:04.124802888Z
82,SI266220200309225433,2,468,169,6745,467,169,6617,468,170,6567,470,168,6566,469,168,6518,7811,2025-07-07T13:26:04.134635648Z
83,SI266220200309225433,3,498,184,13444,498,183,12808,498,185,11699,498,182,11240,364,164,10714,7852,2025-07-07T13:26:04.143007438Z
85,SI266220200309225433,5,361,466,7714,360,465,7587,361,465,7560,360,466,7501,362,466,7455,7937,2025-07-07T13:26:04.148861113Z
86,SI266220200309225433,6,352,379,7380,351,379,7316,353,379,7122,352,380,7069,351,380,6970,8008,2025-07-07T13:26:04.153051620Z
87,SI266220200309225433,7,1,183,11882,1,184,11674,1,182,11566,1,181,10905,41,183,10689,8066,2025-07-07T13:26:04.156624244Z
88,SI266220200309225433,8,498,314,6890,498,315,6496,498,313,6328,0,0,0,0,0,0,8104,2025-07-07T13:26:04.159037337Z
89,SI266220200309225433,9,76,474,7368,75,474,7154,76,492,7108,256,446,7016,76,473,6968,8146,2025-07-07T13:26:04.163491508Z
90,SI266220200309225433,10,341,35,7432,341,36,7397,340,36,7211,340,35,6897,124,8,6794,8210,2025-07-07T13:26:04.166660898Z
92,SI266220200309225433,12,1,314,6587,1,313,6154,1,315,6098,0,0,0,0,0,0,8314,2025-07-07T13:26:04.171327460Z
93,SI266220200309225433,13,1,498,6307,0,0,0,0,0,0,0,0,0,0,0,0,8354,2025-07-07T13:26:04.173288474Z
94,SI266220200309225433,14,1,1,6653,0,0,0,0,0,0,0,0,0,0,0,0,8417,2025-07-07T13:26:04.176229857Z
98,SI266220200309225433,2,339,178,7880,340,178,7668,379,188,7660,338,178,7633,378,188,7538,8583,2025-07-07T13:26:04.190527849Z
99,SI266220200309225433,3,498,183,16209,498,182,16097,498,184,15332,498,135,14034,498,139,13796,8624,2025-07-07T13:26:04.192934525Z
102,SI266220200309225433,6,274,378,8384,274,379,8172,275,378,8106,273,378,8099,275,379,7937,8763,2025-07-07T13:26:04.200519154Z
103,SI266220200309225433,7,1,183,16465,1,184,15793,1,94,15257,1,146,14736,1,136,14269,8818,2025-07-07T13:26:04.203898476Z
105,SI266220200309225433,9,163,447,9560,163,446,9429,162,447,9312,164,447,9221,162,446,9034,8887,2025-07-07T13:26:04.208853046Z
106,SI266220200309225433,10,103,1,7636,104,1,7570,158,1,7258,167,1,7240,157,1,7232,8946,2025-07-07T13:26:04.211774395Z
108,SI266220200309225433,12,239,298,7439,240,298,7304,238,298,7152,239,297,6967,238,297,6936,9021,2025-07-07T13:26:04.219327860Z
114,SI266220200309225433,2,498,250,8133,498,249,8066,498,248,7899,498,245,7803,498,251,7772,9250,2025-07-07T13:26:04.232776624Z
115,SI266220200309225433,3,498,94,10671,498,95,10036,451,183,9386,450,183,9013,450,182,9011,9301,2025-07-07T13:26:04.235055118Z
118,SI266220200309225433,6,1,250,7832,1,249,7783,1,163,7768,1,164,7559,1,166,7432,9461,2025-07-07T13:26:04.247438830Z
119,SI266220200309225433,7,1,94,9441,1,183,9414,1,95,9377,1,184,8809,1,182,8701,9535,2025-07-07T13:26:04.249921874Z
120,SI266220200309225433,8,498,314,6823,498,315,6583,498,355,6329,498,354,6304,498,353,6107,9580,2025-07-07T13:26:04.252490058Z
121,SI266220200309225433,9,108,498,6967,107,498,6877,109,498,6861,116,498,6725,117,498,6648,9619,2025-07-07T13:26:04.255105070Z
122,SI266220200309225433,10,109,1,6959,110,1,6941,108,1,6903,104,1,6856,107,1,6757,9695,2025-07-07T13:26:04.257762854Z
125,SI266220200309225433,13,1,498,6090,0,0,0,0,0,0,0,0,0,0,0,0,9828,2025-07-07T13:26:04.265056094Z
126,SI266220200309225433,14,1,1,6066,0,0,0,0,0,0,0,0,0,0,0,0,9883,2025-07-07T13:26:04.267480390Z
130,SI266220200309225433,2,498,251,12543,498,250,11929,498,252,11775,451,163,11529,452,163,11518,10036,2025-07-07T13:26:04.281363429Z
131,SI266220200309225433,3,498,94,14016,498,184,13762,498,93,11286,499,94,11001,498,113,10815,10074,2025-07-07T13:26:04.283097638Z
132,SI266220200309225433,4,435,385,6810,436,385,6742,434,385,6683,436,384,6617,435,384,6565,10114,2025-07-07T13:26:04.284666850Z
134,SI266220200309225433,6,1,250,12190,1,251,11752,1,249,11590,1,191,10197,1,248,10159,10219,2025-07-07T13:26:04.289637988Z
135,SI266220200309225433,7,1,184,14089,1,94,12819,2,184,11214,1,117,11158,1,185,10944,10277,2025-07-07T13:26:04.291776967Z
136,SI266220200309225433,8,498,354,7118,498,353,7019,498,355,6856,498,352,6572,0,0,0,10332,2025-07-07T13:26:04.293476875Z
137,SI266220200309225433,9,251,447,9810,252,447,9685,253,447,9540,253,448,9395,254,447,9386,10366,2025-07-07T13:26:04.297712502Z
138,SI266220200309225433,10,105,1,10647,104,1,10490,332,34,10333,106,1,10192,332,33,10133,10423,2025-07-07T13:26:04.302562071Z
140,SI266220200309225433,12,237,385,7755,236,385,7682,236,386,7577,238,385,7570,237,386,7537,10494,2025-07-07T13:26:04.310143614Z
141,SI266220200309225433,13,1,498,7678,2,498,6282,1,497,6155,0,0,0,0,0,0,10530,2025-07-07T13:26:04.312495526Z
142,SI266220200309225433,14,1,1,8513,1,2,7891,2,1,7213,1,3,6532,0,2,6488,10571,2025-07-07T13:26:04.319027670Z
146,SI266220200309225433,2,385,379,6547,384,379,6523,385,378,6414,498,467,6204,384,378,6199,10771,2025-07-07T13:26:04.325424845Z
147,SI266220200309225433,3,498,94,16102,498,95,15387,498,96,13952,498,93,13688,498,99,13182,10819,2025-07-07T13:26:04.326996642Z
148,SI266220200309225433,4,355,386,7708,354,386,7517,356,386,7397,355,387,7314,356,387,7227,10855,2025-07-07T13:26:04.328492155Z
149,SI266220200309225433,5,438,230,6124,438,231,6030,0,0,0,0,0,0,0,0,0,10902,2025-07-07T13:26:04.330367505Z
150,SI266220200309225433,6,277,378,8149,439,378,8123,440,378,7922,438,378,7863,278,378,7831,10960,2025-07-07T13:26:04.333003635Z
151,SI266220200309225433,7,1,95,15388,1,96,14976,1,94,14446,1,97,14256,1,98,13531,11011,2025-07-07T13:26:04.338844090Z
152,SI266220200309225433,8,498,355,8970,498,354,8874,498,353,8112,498,356,7949,497,355,7646,11045,2025-07-07T13:26:04.340352847Z
153,SI266220200309225433,9,104,498,9966,105,498,9872,106,498,9221,103,498,8919,107,498,8482,11086,2025-07-07T13:26:04.342288872Z
154,SI266220200309225433,10,258,35,11301,257,35,11189,258,34,11121,105,1,11043,259,35,11031,11143,2025-07-07T13:26:04.344461969Z
156,SI266220200309225433,12,1,355,7776,1,354,7572,152,385,7346,151,384,7325,151,385,7309,11227,2025-07-07T13:26:04.348444943Z
157,SI266220200309225433,13,1,498,7974,151,498,6540,152,498,6363,1,499,6177,2,498,6109,11257,2025-07-07T13:26:04.350758158Z
158,SI266220200309225433,14,1,1,9887,1,2,9631,1,3,8203,2,1,8016,0,2,7613,11306,2025-07-07T13:26:04.353175665Z
163,SI266220200309225433,3,321,111,10246,320,111,10062,297,119,9839,321,110,9766,320,112,9742,11492,2025-07-07T13:26:04.366914086Z
164,SI266220200309225433,4,352,298,7766,352,299,7669,351,298,7408,353,299,7379,353,298,7322,11518,2025-07-07T13:26:04.368518894Z
166,SI266220200309225433,6,351,380,6844,351,381,6706,351,379,6655,166,415,6572,352,381,6517,11624,2025-07-07T13:26:04.372838515Z
167,SI266220200309225433,7,166,132,8231,167,132,8121,166,131,8112,189,119,7990,1,94,7915,11680,2025-07-07T13:26:04.375012251Z
168,SI266220200309225433,8,498,315,8151,498,316,8068,498,314,7943,498,317,7855,498,318,7638,11714,2025-07-07T13:26:04.376944243Z
169,SI266220200309225433,9,251,498,9304,250,498,8971,60,486,8628,59,486,8529,61,486,8328,11743,2025-07-07T13:26:04.379617019Z
