batch_id,print_id,tile_id,saturated,centroids
0,SI266220200309225433,0,0,
1,SI266220200309225433,1,0,
2,SI266220200309225433,2,0,
3,SI266220200309225433,3,5639,
4,SI266220200309225433,4,668,
5,SI266220200309225433,5,0,
6,SI266220200309225433,6,0,
7,SI266220200309225433,7,4555,
8,SI266220200309225433,8,0,
9,SI266220200309225433,9,1712,
10,SI266220200309225433,10,787,
11,SI266220200309225433,11,0,
12,SI266220200309225433,12,5,
13,SI266220200309225433,13,0,
14,SI266220200309225433,14,0,
15,SI266220200309225433,15,0,
16,SI266220200309225433,0,0,
17,SI266220200309225433,1,0,
18,SI266220200309225433,2,0,
19,SI266220200309225433,3,348,
20,SI266220200309225433,4,0,
21,SI266220200309225433,5,0,
22,SI266220200309225433,6,0,
23,SI266220200309225433,7,298,
24,SI266220200309225433,8,0,
25,SI266220200309225433,9,0,
26,SI266220200309225433,10,0,
27,SI266220200309225433,11,0,
28,SI266220200309225433,12,0,
29,SI266220200309225433,13,0,
30,SI266220200309225433,14,0,
31,SI266220200309225433,15,0,
32,SI266220200309225433,0,0,
33,SI266220200309225433,1,0,
34,SI266220200309225433,2,0,
35,SI266220200309225433,3,1253,{"x": 339.333, "y": 105.333, "count": 3};{"x": 498.264, "y": 129.253, "count": 87};{"x": 363.063, "y": 97.500, "count": 16};{"x": 446.400, "y": 98.800, "count": 10};{"x": 315.333, "y": 113.111, "count": 9};{"x": 287.875, "y": 127.313, "count": 32};{"x": 383.421, "y": 158.070, "count": 57};{"x": 446.053, "y": 153.053, "count": 19};{"x": 336.714, "y": 155.429, "count": 7};{"x": 456.526, "y": 184.263, "count": 19}
36,SI266220200309225433,4,0,{"x": 396.382, "y": 346.408, "count": 414};{"x": 216.000, "y": 315.000, "count": 6};{"x": 184.000, "y": 331.889, "count": 9};{"x": 263.000, "y": 348.301, "count": 153};{"x": 215.727, "y": 351.364, "count": 11}
37,SI266220200309225433,5,0,
38,SI266220200309225433,6,0,
