batch_id,print_id,tile_id,saturated,centroids
2,SI266220200309225433,2,0,
6,SI266220200309225433,6,0,
8,SI266220200309225433,8,0,
0,SI266220200309225433,0,0,
1,SI266220200309225433,1,0,
4,SI266220200309225433,4,668,
3,SI266220200309225433,3,5639,
5,SI266220200309225433,5,0,
10,SI266220200309225433,10,787,
12,SI266220200309225433,12,5,
7,SI266220200309225433,7,4555,
9,SI266220200309225433,9,1712,
14,SI266220200309225433,14,0,
16,SI266220200309225433,0,0,
11,SI266220200309225433,11,0,
18,SI266220200309225433,2,0,
15,SI266220200309225433,15,0,
13,SI266220200309225433,13,0,
17,SI266220200309225433,1,0,
20,SI266220200309225433,4,0,
19,SI266220200309225433,3,348,
22,SI266220200309225433,6,0,
21,SI266220200309225433,5,0,
24,SI266220200309225433,8,0,
23,SI266220200309225433,7,298,
26,SI266220200309225433,10,0,
25,SI266220200309225433,9,0,
27,SI266220200309225433,11,0,
28,SI266220200309225433,12,0,
30,SI266220200309225433,14,0,
31,SI266220200309225433,15,0,
34,SI266220200309225433,2,0,
32,SI266220200309225433,0,0,
33,SI266220200309225433,1,0,
29,SI266220200309225433,13,0,
38,SI266220200309225433,6,0,
40,SI266220200309225433,8,0,
36,SI266220200309225433,4,0,{"x": 396.382, "y": 346.408, "count": 414};{"x": 216.000, "y": 315.000, "count": 6};{"x": 184.000, "y": 331.889, "count": 9};{"x": 263.000, "y": 348.301, "count": 153};{"x": 215.727, "y": 351.364, "count": 11}
35,SI266220200309225433,3,1253,{"x": 339.333, "y": 105.333, "count": 3};{"x": 498.264, "y": 129.253, "count": 87};{"x": 363.063, "y": 97.500, "count": 16};{"x": 446.400, "y": 98.800, "count": 10};{"x": 315.333, "y": 113.111, "count": 9};{"x": 287.875, "y": 127.313, "count": 32};{"x": 383.421, "y": 158.070, "count": 57};{"x": 446.053, "y": 153.053, "count": 19};{"x": 336.714, "y": 155.429, "count": 7};{"x": 456.526, "y": 184.263, "count": 19}
42,SI266220200309225433,10,0,{"x": 158.258, "y": 9.742, "count": 159}
37,SI266220200309225433,5,0,
44,SI266220200309225433,12,0,
39,SI266220200309225433,7,113,{"x": 240.273, "y": 106.364, "count": 11};{"x": 5.836, "y": 99.364, "count": 55};{"x": 207.875, "y": 113.875, "count": 8};{"x": 183.429, "y": 128.429, "count": 14};{"x": 0.750, "y": 163.278, "count": 36};{"x": 40.269, "y": 154.231, "count": 52};{"x": 439.545, "y": 180.727, "count": 11}
41,SI266220200309225433,9,0,{"x": 75.286, "y": 474.000, "count": 7};{"x": 109.400, "y": 462.400, "count": 5};{"x": 163.294, "y": 498.118, "count": 34}
46,SI266220200309225433,14,0,
48,SI266220200309225433,0,0,
43,SI266220200309225433,11,0,
52,SI266220200309225433,4,0,
50,SI266220200309225433,2,77,{"x": 325.500, "y": 199.000, "count": 2};{"x": 477.482, "y": 173.799, "count": 299};{"x": 320.714, "y": 178.000, "count": 7};{"x": 377.200, "y": 198.500, "count": 10}
47,SI266220200309225433,15,0,
49,SI266220200309225433,1,0,
45,SI266220200309225433,13,0,
54,SI266220200309225433,6,0,{"x": 428.045, "y": 1.000, "count": 22};{"x": 30.500, "y": 1.000, "count": 2};{"x": 21.162, "y": 173.262, "count": 290}
51,SI266220200309225433,3,6667,{"x": 405.667, "y": 146.000, "count": 3};{"x": 345.803, "y": 149.658, "count": 310};{"x": 498.286, "y": 96.381, "count": 21};{"x": 450.432, "y": 105.703, "count": 37};{"x": 343.500, "y": 101.250, "count": 12};{"x": 497.554, "y": 173.046, "count": 65};{"x": 454.818, "y": 182.364, "count": 11}
53,SI266220200309225433,5,129,{"x": 318.600, "y": 419.800, "count": 5};{"x": 350.000, "y": 234.000, "count": 7};{"x": 406.565, "y": 239.478, "count": 23};{"x": 433.195, "y": 242.512, "count": 41};{"x": 419.852, "y": 283.316, "count": 250};{"x": 350.000, "y": 286.286, "count": 7};{"x": 402.463, "y": 462.195, "count": 853};{"x": 432.000, "y": 498.000, "count": 19}
58,SI266220200309225433,10,4,{"x": 138.336, "y": 4.199, "count": 327};{"x": 294.661, "y": 0.627, "count": 177};{"x": 497.000, "y": 0.857, "count": 7}
56,SI266220200309225433,8,0,
55,SI266220200309225433,7,2895,{"x": 187.000, "y": 118.000, "count": 1};{"x": 0.727, "y": 96.364, "count": 22};{"x": 396.291, "y": 117.805, "count": 313};{"x": 25.377, "y": 164.884, "count": 138}
62,SI266220200309225433,14,0,
60,SI266220200309225433,12,0,
57,SI266220200309225433,9,358,{"x": 497.750, "y": 479.250, "count": 4};{"x": 152.364, "y": 445.909, "count": 11};{"x": 128.365, "y": 493.019, "count": 425};{"x": 54.706, "y": 485.647, "count": 17};{"x": 296.820, "y": 498.343, "count": 172}
59,SI266220200309225433,11,0,
64,SI266220200309225433,0,0,
63,SI266220200309225433,15,0,
66,SI266220200309225433,2,0,
61,SI266220200309225433,13,0,{"x": 1.000, "y": 479.500, "count": 2};{"x": 40.500, "y": 455.313, "count": 16}
65,SI266220200309225433,1,0,
67,SI266220200309225433,3,268,{"x": 408.333, "y": 171.167, "count": 6};{"x": 498.406, "y": 98.656, "count": 32};{"x": 385.500, "y": 93.800, "count": 10};{"x": 350.706, "y": 101.118, "count": 17};{"x": 447.860, "y": 120.349, "count": 43};{"x": 315.500, "y": 113.000, "count": 6};{"x": 302.235, "y": 142.255, "count": 51};{"x": 475.698, "y": 141.755, "count": 53};{"x": 339.100, "y": 156.100, "count": 10};{"x": 451.857, "y": 184.571, "count": 7}
68,SI266220200309225433,4,0,
70,SI266220200309225433,6,0,{"x": 0.750, "y": 164.500, "count": 8};{"x": 350.500, "y": 465.000, "count": 10}
69,SI266220200309225433,5,0,
74,SI266220200309225433,10,0,{"x": 340.500, "y": 1.000, "count": 2};{"x": 123.222, "y": 1.111, "count": 18};{"x": 251.128, "y": 20.106, "count": 47};{"x": 497.000, "y": 1.000, "count": 8}
72,SI266220200309225433,8,0,
71,SI266220200309225433,7,91,{"x": 0.667, "y": 184.667, "count": 3};{"x": 0.667, "y": 100.692, "count": 39};{"x": 438.185, "y": 93.852, "count": 27};{"x": 35.061, "y": 95.184, "count": 49};{"x": 350.583, "y": 181.000, "count": 12}
73,SI266220200309225433,9,0,{"x": 79.143, "y": 470.571, "count": 7};{"x": 248.700, "y": 493.200, "count": 10};{"x": 252.267, "y": 498.133, "count": 15};{"x": 106.000, "y": 498.222, "count": 9}
78,SI266220200309225433,14,0,{"x": 13.143, "y": 1.000, "count": 7}
75,SI266220200309225433,11,0,
76,SI266220200309225433,12,0,{"x": 91.000, "y": 355.200, "count": 5}
80,SI266220200309225433,0,0,
77,SI266220200309225433,13,0,{"x": 1.000, "y": 498.000, "count": 5}
79,SI266220200309225433,15,0,
81,SI266220200309225433,1,0,
84,SI266220200309225433,4,0,
82,SI266220200309225433,2,0,{"x": 468.136, "y": 169.045, "count": 22}
86,SI266220200309225433,6,0,{"x": 352.231, "y": 379.385, "count": 13}
83,SI266220200309225433,3,396,{"x": 356.114, "y": 98.727, "count": 44};{"x": 498.455, "y": 95.273, "count": 11};{"x": 447.077, "y": 112.154, "count": 65};{"x": 289.857, "y": 127.554, "count": 56};{"x": 389.500, "y": 124.000, "count": 6};{"x": 498.095, "y": 171.143, "count": 42};{"x": 361.834, "y": 163.910, "count": 199}
85,SI266220200309225433,5,0,{"x": 426.278, "y": 462.794, "count": 126};{"x": 357.714, "y": 465.700, "count": 70}
88,SI266220200309225433,8,0,
87,SI266220200309225433,7,727,{"x": 252.000, "y": 105.143, "count": 7};{"x": 0.556, "y": 94.778, "count": 9};{"x": 14.280, "y": 177.100, "count": 100}
90,SI266220200309225433,10,0,{"x": 340.333, "y": 35.333, "count": 6};{"x": 228.333, "y": 4.333, "count": 6}
89,SI266220200309225433,9,0,{"x": 177.182, "y": 483.091, "count": 11};{"x": 253.400, "y": 447.800, "count": 25};{"x": 77.455, "y": 482.727, "count": 11};{"x": 164.273, "y": 486.000, "count": 11}
92,SI266220200309225433,12,0,
91,SI266220200309225433,11,0,
94,SI266220200309225433,14,0,
95,SI266220200309225433,15,0,
98,SI266220200309225433,2,0,{"x": 381.246, "y": 183.928, "count": 69};{"x": 337.222, "y": 176.056, "count": 54};{"x": 498.000, "y": 239.700, "count": 10}
96,SI266220200309225433,0,0,
93,SI266220200309225433,13,0,
97,SI266220200309225433,1,0,
100,SI266220200309225433,4,0,
99,SI266220200309225433,3,7571,{"x": 470.265, "y": 141.387, "count": 313};{"x": 353.442, "y": 134.487, "count": 308}
102,SI266220200309225433,6,0,{"x": 1.000, "y": 240.000, "count": 12};{"x": 437.000, "y": 296.727, "count": 11};{"x": 273.208, "y": 378.708, "count": 24}
104,SI266220200309225433,8,0,
101,SI266220200309225433,5,0,
103,SI266220200309225433,7,3084,{"x": 28.021, "y": 152.737, "count": 194};{"x": 270.611, "y": 95.000, "count": 18};{"x": 1.184, "y": 141.000, "count": 38}
106,SI266220200309225433,10,0,{"x": 306.833, "y": 1.000, "count": 6};{"x": 143.951, "y": 0.951, "count": 41};{"x": 251.833, "y": 35.833, "count": 6}
108,SI266220200309225433,12,0,{"x": 238.154, "y": 297.615, "count": 13}
105,SI266220200309225433,9,6,{"x": 294.500, "y": 498.000, "count": 4};{"x": 156.532, "y": 449.890, "count": 109};{"x": 327.594, "y": 447.115, "count": 96};{"x": 146.490, "y": 498.143, "count": 49}
110,SI266220200309225433,14,0,
107,SI266220200309225433,11,0,
111,SI266220200309225433,15,0,
109,SI266220200309225433,13,0,
112,SI266220200309225433,0,0,
113,SI266220200309225433,1,0,
116,SI266220200309225433,4,0,
114,SI266220200309225433,2,0,{"x": 498.214, "y": 233.000, "count": 28};{"x": 498.000, "y": 163.000, "count": 3}
118,SI266220200309225433,6,0,{"x": 1.000, "y": 202.172, "count": 58}
115,SI266220200309225433,3,1583,{"x": 339.200, "y": 155.400, "count": 5};{"x": 466.167, "y": 93.333, "count": 6};{"x": 498.324, "y": 104.853, "count": 34};{"x": 363.750, "y": 98.000, "count": 8};{"x": 322.769, "y": 110.538, "count": 13};{"x": 285.400, "y": 132.133, "count": 30};{"x": 498.231, "y": 172.077, "count": 26};{"x": 364.000, "y": 162.714, "count": 7};{"x": 459.694, "y": 183.278, "count": 36}
117,SI266220200309225433,5,0,
122,SI266220200309225433,10,0,{"x": 333.000, "y": 1.000, "count": 3};{"x": 113.444, "y": 1.000, "count": 18}
120,SI266220200309225433,8,0,{"x": 498.000, "y": 331.429, "count": 7}
119,SI266220200309225433,7,0,{"x": 20.651, "y": 158.903, "count": 393}
121,SI266220200309225433,9,0,{"x": 113.000, "y": 498.000, "count": 16};{"x": 268.333, "y": 493.667, "count": 3}
126,SI266220200309225433,14,0,
128,SI266220200309225433,0,0,
123,SI266220200309225433,11,0,
124,SI266220200309225433,12,0,
127,SI266220200309225433,15,0,
129,SI266220200309225433,1,0,
