batch_id,print_id,tile_id,saturated,centroids
6,SI266220200309225433,6,0,
1,SI266220200309225433,1,0,
4,SI266220200309225433,4,668,
2,SI266220200309225433,2,0,
0,SI266220200309225433,0,0,
3,SI266220200309225433,3,5639,
7,SI266220200309225433,7,4555,
8,SI266220200309225433,8,0,
10,SI266220200309225433,10,787,
5,SI266220200309225433,5,0,
9,SI266220200309225433,9,1712,
12,SI266220200309225433,12,5,
11,SI266220200309225433,11,0,
14,SI266220200309225433,14,0,
17,SI266220200309225433,1,0,
16,SI266220200309225433,0,0,
15,SI266220200309225433,15,0,
24,SI266220200309225433,8,0,
13,SI266220200309225433,13,0,
20,SI266220200309225433,4,0,
18,SI266220200309225433,2,0,
23,SI266220200309225433,7,298,
22,SI266220200309225433,6,0,
19,SI266220200309225433,3,348,
21,SI266220200309225433,5,0,
26,SI266220200309225433,10,0,
31,SI266220200309225433,15,0,
28,SI266220200309225433,12,0,
30,SI266220200309225433,14,0,
25,SI266220200309225433,9,0,
27,SI266220200309225433,11,0,
34,SI266220200309225433,2,0,
32,SI266220200309225433,0,0,
29,SI266220200309225433,13,0,
33,SI266220200309225433,1,0,
35,SI266220200309225433,3,1253,{"x": 339.333, "y": 105.333, "count": 3};{"x": 498.264, "y": 129.253, "count": 87};{"x": 363.063, "y": 97.500, "count": 16};{"x": 446.400, "y": 98.800, "count": 10};{"x": 315.333, "y": 113.111, "count": 9};{"x": 287.875, "y": 127.313, "count": 32};{"x": 383.421, "y": 158.070, "count": 57};{"x": 446.053, "y": 153.053, "count": 19};{"x": 336.714, "y": 155.429, "count": 7};{"x": 456.526, "y": 184.263, "count": 19}
38,SI266220200309225433,6,0,
36,SI266220200309225433,4,0,{"x": 396.382, "y": 346.408, "count": 414};{"x": 216.000, "y": 315.000, "count": 6};{"x": 184.000, "y": 331.889, "count": 9};{"x": 263.000, "y": 348.301, "count": 153};{"x": 215.727, "y": 351.364, "count": 11}
40,SI266220200309225433,8,0,
37,SI266220200309225433,5,0,
42,SI266220200309225433,10,0,{"x": 158.258, "y": 9.742, "count": 159}
44,SI266220200309225433,12,0,
39,SI266220200309225433,7,113,{"x": 240.273, "y": 106.364, "count": 11};{"x": 5.836, "y": 99.364, "count": 55};{"x": 207.875, "y": 113.875, "count": 8};{"x": 183.429, "y": 128.429, "count": 14};{"x": 0.750, "y": 163.278, "count": 36};{"x": 40.269, "y": 154.231, "count": 52};{"x": 439.545, "y": 180.727, "count": 11}
46,SI266220200309225433,14,0,
41,SI266220200309225433,9,0,{"x": 75.286, "y": 474.000, "count": 7};{"x": 109.400, "y": 462.400, "count": 5};{"x": 163.294, "y": 498.118, "count": 34}
48,SI266220200309225433,0,0,
43,SI266220200309225433,11,0,
50,SI266220200309225433,2,77,{"x": 325.500, "y": 199.000, "count": 2};{"x": 477.482, "y": 173.799, "count": 299};{"x": 320.714, "y": 178.000, "count": 7};{"x": 377.200, "y": 198.500, "count": 10}
45,SI266220200309225433,13,0,
52,SI266220200309225433,4,0,
47,SI266220200309225433,15,0,
54,SI266220200309225433,6,0,{"x": 428.045, "y": 1.000, "count": 22};{"x": 30.500, "y": 1.000, "count": 2};{"x": 21.162, "y": 173.262, "count": 290}
49,SI266220200309225433,1,0,
51,SI266220200309225433,3,6667,{"x": 405.667, "y": 146.000, "count": 3};{"x": 345.803, "y": 149.658, "count": 310};{"x": 498.286, "y": 96.381, "count": 21};{"x": 450.432, "y": 105.703, "count": 37};{"x": 343.500, "y": 101.250, "count": 12};{"x": 497.554, "y": 173.046, "count": 65};{"x": 454.818, "y": 182.364, "count": 11}
56,SI266220200309225433,8,0,
53,SI266220200309225433,5,129,{"x": 318.600, "y": 419.800, "count": 5};{"x": 350.000, "y": 234.000, "count": 7};{"x": 406.565, "y": 239.478, "count": 23};{"x": 433.195, "y": 242.512, "count": 41};{"x": 419.852, "y": 283.316, "count": 250};{"x": 350.000, "y": 286.286, "count": 7};{"x": 402.463, "y": 462.195, "count": 853};{"x": 432.000, "y": 498.000, "count": 19}
60,SI266220200309225433,12,0,
58,SI266220200309225433,10,4,{"x": 138.336, "y": 4.199, "count": 327};{"x": 294.661, "y": 0.627, "count": 177};{"x": 497.000, "y": 0.857, "count": 7}
55,SI266220200309225433,7,2895,{"x": 187.000, "y": 118.000, "count": 1};{"x": 0.727, "y": 96.364, "count": 22};{"x": 396.291, "y": 117.805, "count": 313};{"x": 25.377, "y": 164.884, "count": 138}
62,SI266220200309225433,14,0,
