batch_id,tile_id,print_id,saturated,latency_ms,timestamp
2,2,SI266220200309225433,0,11,2025-06-30T13:31:12.916533541Z
1,1,SI266220200309225433,0,11,2025-06-30T13:31:12.915922061Z
0,0,SI266220200309225433,0,14,2025-06-30T13:31:12.914245871Z
5,5,SI266220200309225433,0,23,2025-06-30T13:31:12.918344595Z
4,4,SI266220200309225433,668,25,2025-06-30T13:31:12.917721724Z
7,7,SI266220200309225433,4555,35,2025-06-30T13:31:12.932713383Z
3,3,SI266220200309225433,5639,29,2025-06-30T13:31:12.917228219Z
6,6,SI266220200309225433,0,94,2025-06-30T13:31:12.919445306Z
8,8,SI266220200309225433,0,19,2025-06-30T13:31:12.933655380Z
10,10,SI266220200309225433,787,67,2025-06-30T13:31:12.947329490Z
11,11,SI266220200309225433,0,12,2025-06-30T13:31:13.005327753Z
13,13,SI266220200309225433,0,26,2025-06-30T13:31:13.006754781Z
14,14,SI266220200309225433,0,25,2025-06-30T13:31:13.007476562Z
9,9,SI266220200309225433,1712,91,2025-06-30T13:31:12.934723056Z
17,1,SI266220200309225433,0,24,2025-06-30T13:31:13.021555345Z
12,12,SI266220200309225433,5,41,2025-06-30T13:31:13.006163687Z
16,0,SI266220200309225433,0,24,2025-06-30T13:31:13.020116070Z
15,15,SI266220200309225433,0,46,2025-06-30T13:31:13.018537903Z
20,4,SI266220200309225433,0,37,2025-06-30T13:31:13.041269283Z
19,3,SI266220200309225433,348,47,2025-06-30T13:31:13.029527606Z
18,2,SI266220200309225433,0,50,2025-06-30T13:31:13.028250642Z
21,5,SI266220200309225433,0,71,2025-06-30T13:31:13.042314846Z
23,7,SI266220200309225433,298,37,2025-06-30T13:31:13.072598442Z
22,6,SI266220200309225433,0,43,2025-06-30T13:31:13.071642854Z
25,9,SI266220200309225433,0,53,2025-06-30T13:31:13.099148805Z
24,8,SI266220200309225433,0,80,2025-06-30T13:31:13.073166404Z
26,10,SI266220200309225433,0,66,2025-06-30T13:31:13.100166261Z
28,12,SI266220200309225433,0,7,2025-06-30T13:31:13.161320833Z
27,11,SI266220200309225433,0,11,2025-06-30T13:31:13.160672017Z
31,15,SI266220200309225433,0,38,2025-06-30T13:31:13.163274909Z
29,13,SI266220200309225433,0,13,2025-06-30T13:31:13.161944571Z
30,14,SI266220200309225433,0,42,2025-06-30T13:31:13.162553413Z
33,1,SI266220200309225433,0,51,2025-06-30T13:31:13.164386961Z
32,0,SI266220200309225433,0,47,2025-06-30T13:31:13.163856962Z
34,2,SI266220200309225433,0,47,2025-06-30T13:31:13.169492054Z
35,3,SI266220200309225433,1253,78,2025-06-30T13:31:13.170600003Z
