batch_id,tile_id,print_id,saturated,latency_ms,timestamp
0,0,SI266220200309225433,0,12,2025-06-27T14:26:47.267109990Z
2,2,SI266220200309225433,0,12,2025-06-27T14:26:47.269451077Z
6,6,SI266220200309225433,0,28,2025-06-27T14:26:47.271828114Z
4,4,SI266220200309225433,668,21,2025-06-27T14:26:47.270724837Z
1,1,SI266220200309225433,0,14,2025-06-27T14:26:47.268761013Z
8,8,SI266220200309225433,0,35,2025-06-27T14:26:47.272789692Z
5,5,SI266220200309225433,0,21,2025-06-27T14:26:47.271249067Z
11,11,SI266220200309225433,0,51,2025-06-27T14:26:47.274595387Z
7,7,SI266220200309225433,4555,49,2025-06-27T14:26:47.272287930Z
12,12,SI266220200309225433,5,59,2025-06-27T14:26:47.275011860Z
3,3,SI266220200309225433,5639,21,2025-06-27T14:26:47.270094360Z
10,10,SI266220200309225433,787,45,2025-06-27T14:26:47.273977236Z
18,2,SI266220200309225433,0,56,2025-06-27T14:26:47.311006741Z
14,14,SI266220200309225433,0,56,2025-06-27T14:26:47.276242823Z
13,13,SI266220200309225433,0,73,2025-06-27T14:26:47.275485143Z
9,9,SI266220200309225433,1712,113,2025-06-27T14:26:47.273394159Z
20,4,SI266220200309225433,0,92,2025-06-27T14:26:47.324343089Z
17,1,SI266220200309225433,0,102,2025-06-27T14:26:47.308245846Z
19,3,SI266220200309225433,348,132,2025-06-27T14:26:47.312391284Z
16,0,SI266220200309225433,0,119,2025-06-27T14:26:47.297659475Z
24,8,SI266220200309225433,0,72,2025-06-27T14:26:47.343534887Z
15,15,SI266220200309225433,0,126,2025-06-27T14:26:47.296880646Z
26,10,SI266220200309225433,0,24,2025-06-27T14:26:47.405790967Z
21,5,SI266220200309225433,0,144,2025-06-27T14:26:47.326784507Z
22,6,SI266220200309225433,0,123,2025-06-27T14:26:47.340523984Z
28,12,SI266220200309225433,0,63,2025-06-27T14:26:47.422261336Z
30,14,SI266220200309225433,0,26,2025-06-27T14:26:47.438313420Z
25,9,SI266220200309225433,0,107,2025-06-27T14:26:47.354640106Z
32,0,SI266220200309225433,0,23,2025-06-27T14:26:47.456207825Z
23,7,SI266220200309225433,298,121,2025-06-27T14:26:47.342284113Z
29,13,SI266220200309225433,0,107,2025-06-27T14:26:47.423251540Z
27,11,SI266220200309225433,0,86,2025-06-27T14:26:47.421431017Z
33,1,SI266220200309225433,0,121,2025-06-27T14:26:47.457045778Z
36,4,SI266220200309225433,0,70,2025-06-27T14:26:47.458942990Z
38,6,SI266220200309225433,0,74,2025-06-27T14:26:47.460646592Z
34,2,SI266220200309225433,0,61,2025-06-27T14:26:47.457751921Z
31,15,SI266220200309225433,0,78,2025-06-27T14:26:47.455151552Z
40,8,SI266220200309225433,0,57,2025-06-27T14:26:47.526061890Z
35,3,SI266220200309225433,1253,107,2025-06-27T14:26:47.458333575Z
42,10,SI266220200309225433,0,54,2025-06-27T14:26:47.528767302Z
44,12,SI266220200309225433,0,22,2025-06-27T14:26:47.561327600Z
37,5,SI266220200309225433,0,125,2025-06-27T14:26:47.459737957Z
46,14,SI266220200309225433,0,37,2025-06-27T14:26:47.573334197Z
50,2,SI266220200309225433,77,44,2025-06-27T14:26:47.576249804Z
41,9,SI266220200309225433,0,84,2025-06-27T14:26:47.527581614Z
39,7,SI266220200309225433,113,101,2025-06-27T14:26:47.525064761Z
52,4,SI266220200309225433,0,35,2025-06-27T14:26:47.587693403Z
48,0,SI266220200309225433,0,53,2025-06-27T14:26:47.574714566Z
43,11,SI266220200309225433,0,102,2025-06-27T14:26:47.529828394Z
54,6,SI266220200309225433,0,113,2025-06-27T14:26:47.604300042Z
56,8,SI266220200309225433,0,101,2025-06-27T14:26:47.623222262Z
47,15,SI266220200309225433,0,307,2025-06-27T14:26:47.573964302Z
45,13,SI266220200309225433,0,329,2025-06-27T14:26:47.561991179Z
51,3,SI266220200309225433,6667,386,2025-06-27T14:26:47.577031655Z
53,5,SI266220200309225433,129,334,2025-06-27T14:26:47.603004968Z
58,10,SI266220200309225433,4,40,2025-06-27T14:26:47.876788007Z
60,12,SI266220200309225433,0,32,2025-06-27T14:26:47.930869375Z
49,1,SI266220200309225433,0,365,2025-06-27T14:26:47.575489029Z
62,14,SI266220200309225433,0,85,2025-06-27T14:26:47.932510709Z
59,11,SI266220200309225433,0,110,2025-06-27T14:26:47.877916820Z
57,9,SI266220200309225433,358,270,2025-06-27T14:26:47.716989752Z
63,15,SI266220200309225433,0,117,2025-06-27T14:26:47.933339165Z
64,0,SI266220200309225433,0,65,2025-06-27T14:26:47.950316698Z
66,2,SI266220200309225433,0,67,2025-06-27T14:26:47.952220991Z
55,7,SI266220200309225433,2895,561,2025-06-27T14:26:47.621974621Z
61,13,SI266220200309225433,0,260,2025-06-27T14:26:47.931670813Z
65,1,SI266220200309225433,0,205,2025-06-27T14:26:47.951180128Z
68,4,SI266220200309225433,0,238,2025-06-27T14:26:47.954283466Z
72,8,SI266220200309225433,0,28,2025-06-27T14:26:48.180304392Z
70,6,SI266220200309225433,0,26,2025-06-27T14:26:48.178646768Z
67,3,SI266220200309225433,268,248,2025-06-27T14:26:47.953419683Z
76,12,SI266220200309225433,0,17,2025-06-27T14:26:48.196076760Z
74,10,SI266220200309225433,0,25,2025-06-27T14:26:48.182247947Z
71,7,SI266220200309225433,91,27,2025-06-27T14:26:48.179524090Z
78,14,SI266220200309225433,0,22,2025-06-27T14:26:48.197771464Z
69,5,SI266220200309225433,0,38,2025-06-27T14:26:48.177472420Z
82,2,SI266220200309225433,0,23,2025-06-27T14:26:48.200372684Z
84,4,SI266220200309225433,0,47,2025-06-27T14:26:48.201738694Z
73,9,SI266220200309225433,0,71,2025-06-27T14:26:48.181198656Z
79,15,SI266220200309225433,0,120,2025-06-27T14:26:48.198405259Z
80,0,SI266220200309225433,0,110,2025-06-27T14:26:48.199036172Z
77,13,SI266220200309225433,0,55,2025-06-27T14:26:48.196935409Z
75,11,SI266220200309225433,0,130,2025-06-27T14:26:48.186074931Z
86,6,SI266220200309225433,0,79,2025-06-27T14:26:48.244177904Z
85,5,SI266220200309225433,0,231,2025-06-27T14:26:48.202923790Z
81,1,SI266220200309225433,0,238,2025-06-27T14:26:48.199727899Z
90,10,SI266220200309225433,0,100,2025-06-27T14:26:48.317387446Z
83,3,SI266220200309225433,396,268,2025-06-27T14:26:48.201034848Z
88,8,SI266220200309225433,0,102,2025-06-27T14:26:48.315614566Z
87,7,SI266220200309225433,727,154,2025-06-27T14:26:48.314234451Z
92,12,SI266220200309225433,0,45,2025-06-27T14:26:48.428511230Z
94,14,SI266220200309225433,0,51,2025-06-27T14:26:48.430045398Z
96,0,SI266220200309225433,0,16,2025-06-27T14:26:48.463293360Z
98,2,SI266220200309225433,0,21,2025-06-27T14:26:48.464773637Z
91,11,SI266220200309225433,0,149,2025-06-27T14:26:48.318482192Z
104,8,SI266220200309225433,0,42,2025-06-27T14:26:48.475792536Z
89,9,SI266220200309225433,0,163,2025-06-27T14:26:48.316710559Z
95,15,SI266220200309225433,0,118,2025-06-27T14:26:48.430842434Z
93,13,SI266220200309225433,0,57,2025-06-27T14:26:48.429240515Z
100,4,SI266220200309225433,0,83,2025-06-27T14:26:48.466394848Z
101,5,SI266220200309225433,0,90,2025-06-27T14:26:48.472938605Z
97,1,SI266220200309225433,0,99,2025-06-27T14:26:48.464008299Z
103,7,SI266220200309225433,3084,125,2025-06-27T14:26:48.475085432Z
102,6,SI266220200309225433,0,43,2025-06-27T14:26:48.473995317Z
109,13,SI266220200309225433,0,57,2025-06-27T14:26:48.553768292Z
107,11,SI266220200309225433,0,58,2025-06-27T14:26:48.541561469Z
99,3,SI266220200309225433,7571,201,2025-06-27T14:26:48.465299150Z
106,10,SI266220200309225433,0,106,2025-06-27T14:26:48.510194416Z
108,12,SI266220200309225433,0,164,2025-06-27T14:26:48.541882465Z
105,9,SI266220200309225433,6,218,2025-06-27T14:26:48.476512568Z
110,14,SI266220200309225433,0,147,2025-06-27T14:26:48.557236900Z
115,3,SI266220200309225433,1583,75,2025-06-27T14:26:48.641959619Z
116,4,SI266220200309225433,0,75,2025-06-27T14:26:48.642685522Z
112,0,SI266220200309225433,0,74,2025-06-27T14:26:48.638937354Z
113,1,SI266220200309225433,0,73,2025-06-27T14:26:48.639948275Z
119,7,SI266220200309225433,0,32,2025-06-27T14:26:48.702148474Z
111,15,SI266220200309225433,0,119,2025-06-27T14:26:48.596092822Z
114,2,SI266220200309225433,0,75,2025-06-27T14:26:48.640962298Z
122,10,SI266220200309225433,0,21,2025-06-27T14:26:48.710634421Z
121,9,SI266220200309225433,0,19,2025-06-27T14:26:48.709379444Z
117,5,SI266220200309225433,0,73,2025-06-27T14:26:48.671121269Z
118,6,SI266220200309225433,0,26,2025-06-27T14:26:48.700918956Z
120,8,SI266220200309225433,0,45,2025-06-27T14:26:48.702851499Z
127,15,SI266220200309225433,0,50,2025-06-27T14:26:48.723507826Z
128,0,SI266220200309225433,0,24,2025-06-27T14:26:48.724113912Z
133,5,SI266220200309225433,0,76,2025-06-27T14:26:48.741861328Z
134,6,SI266220200309225433,0,79,2025-06-27T14:26:48.743011984Z
125,13,SI266220200309225433,0,55,2025-06-27T14:26:48.721891627Z
124,12,SI266220200309225433,0,114,2025-06-27T14:26:48.721193075Z
130,2,SI266220200309225433,0,119,2025-06-27T14:26:48.730866582Z
123,11,SI266220200309225433,0,88,2025-06-27T14:26:48.711459095Z
136,8,SI266220200309225433,0,83,2025-06-27T14:26:48.792845437Z
126,14,SI266220200309225433,0,111,2025-06-27T14:26:48.722800073Z
129,1,SI266220200309225433,0,164,2025-06-27T14:26:48.730007290Z
131,3,SI266220200309225433,2418,104,2025-06-27T14:26:48.731762016Z
132,4,SI266220200309225433,0,193,2025-06-27T14:26:48.732626749Z
137,9,SI266220200309225433,0,136,2025-06-27T14:26:48.793516196Z
140,12,SI266220200309225433,0,10,2025-06-27T14:26:48.919809351Z
135,7,SI266220200309225433,918,160,2025-06-27T14:26:48.769193964Z
142,14,SI266220200309225433,0,12,2025-06-27T14:26:48.921445248Z
138,10,SI266220200309225433,26,106,2025-06-27T14:26:48.828275824Z
139,11,SI266220200309225433,0,90,2025-06-27T14:26:48.842348785Z
143,15,SI266220200309225433,0,36,2025-06-27T14:26:48.922004558Z
146,2,SI266220200309225433,0,16,2025-06-27T14:26:48.923979540Z
141,13,SI266220200309225433,0,36,2025-06-27T14:26:48.920555031Z
147,3,SI266220200309225433,832,56,2025-06-27T14:26:48.924390735Z
148,4,SI266220200309225433,0,44,2025-06-27T14:26:48.924961582Z
144,0,SI266220200309225433,0,48,2025-06-27T14:26:48.922609675Z
