batch_id,print_id,tile_id,P1_x,P1_y,δP1,P2_x,P2_y,δP2,P3_x,P3_y,δP3,P4_x,P4_y,δP4,P5_x,P5_y,δP5,latency_ms,timestamp
7,SI266220200309225433,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2025-06-30T13:34:13.849846590Z
3,SI266220200309225433,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2025-06-30T13:34:13.846866936Z
2,SI266220200309225433,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2025-06-30T13:34:13.846187682Z
6,SI266220200309225433,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2025-06-30T13:34:13.849220047Z
4,SI266220200309225433,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2025-06-30T13:34:13.847430619Z
10,SI266220200309225433,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2025-06-30T13:34:13.851886422Z
1,SI266220200309225433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2025-06-30T13:34:13.845520313Z
14,SI266220200309225433,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2025-06-30T13:34:13.854133677Z
0,SI266220200309225433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2025-06-30T13:34:13.842474750Z
5,SI266220200309225433,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2025-06-30T13:34:13.848211394Z
8,SI266220200309225433,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2025-06-30T13:34:13.850495996Z
18,SI266220200309225433,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2025-06-30T13:34:13.856943427Z
16,SI266220200309225433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2025-06-30T13:34:13.855143721Z
13,SI266220200309225433,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2025-06-30T13:34:13.853534185Z
12,SI266220200309225433,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2025-06-30T13:34:13.852936637Z
