parallelism,bench_id,throughput,latency_mean,latency_max
1,01JYR8G6ZJA2WKFZ0QS0MHP3P0,46.52,21ms61µs121ns,63ms626µs218ns
2,01JYR8M5QYC009Z4R2SDTJQE03,58.70,98ms164µs678ns,737ms625µs450ns
4,01JYR8RKWVJ7SP75DJ125CE7GK,81.10,106ms392µs823ns,656ms284µs719ns
8,01JYR8TXV1S8EH00TTZKEVXB9T,129.68,115ms624µs277ns,957ms290µs395ns
2,01JYR8WRW8KGZTV28PKZ1787CH,55.70,88ms762µs288ns,229ms763µs18ns
1,01JYR90C03S8SPA8W35SZGH1J8,43.11,22ms720µs638ns,75ms495µs881ns
1,01JYR96XKHGFD5VYS8GSDKS13T,44.63,21ms632µs79ns,201ms626µs410ns
2,01JYR9CH5CWSQQBMYE274DNAPG,58.14,97ms331µs86ns,263ms445µs7ns
4,01JYR9G3EAB5EF71DD2BYC17H3,82.46,95ms178µs226ns,524ms213µs792ns
4,01JYR9MPS5V9G6JH7JCD3NYCYM,75.63,207ms812µs398ns,655ms829µs563ns
2,01JYR9QZQ6ZSH7BXM8PNQB6JC5,58.77,149ms694µs987ns,475ms136µs909ns
8,01JYR9VBM95CWZG2KN6WT03RTT,111.82,210ms949µs707ns,947ms560µs221ns
8,01JYRAG228JEFRG500FP988HPT,109.45,230ms615µs464ns,845ms50µs181ns
8,01JYRASYSD86DC06YQ04HCDZTN,110.48,189ms80µs288ns,712ms673µs615ns
8,01JYRC5R6XY32ZKSC3AETZ66H7,29.55,450ms759µs962ns,1s740ms758µs546ns
8,01JYRDP8FVQCHV6RVNBEXY2V3E,116.13,206ms536µs45ns,690ms773µs961ns
8,01JYRE40B7BYNENDC7G79X4CHJ,118.95,220ms622µs890ns,766ms382µs643ns
8,01JYREKPMX6TMPJGCCP473ARYE,125.60,200ms785µs859ns,716ms463µs256ns
8,01JYREP59FYNF2X0D4YQ7SZTF9,116.78,212ms336µs436ns,631ms231µs195ns
8,01JYRF0DN69C2HVFSD04SN9R50,116.37,197ms139µs498ns,695ms168µs235ns
8,01JYRFATSFN62EJSDCKNYD7PMV,121.34,125ms548µs964ns,460ms5µs948ns
