batch_id,tile_id,print_id,saturated,latency_ms,timestamp
0,0,SI266220200309225433,0,24,2025-06-26T14:19:37.695537180Z
1,1,SI266220200309225433,0,57,2025-06-26T14:19:37.762666210Z
2,2,SI266220200309225433,0,67,2025-06-26T14:19:37.868016522Z
3,3,SI266220200309225433,5639,61,2025-06-26T14:19:37.957216224Z
4,4,SI266220200309225433,668,20,2025-06-26T14:19:38.033874163Z
5,5,SI266220200309225433,0,14,2025-06-26T14:19:38.070962551Z
6,6,SI266220200309225433,0,9,2025-06-26T14:19:38.100197998Z
7,7,SI266220200309225433,4555,8,2025-06-26T14:19:38.126880521Z
8,8,SI266220200309225433,0,13,2025-06-26T14:19:38.150155742Z
9,9,SI266220200309225433,1712,18,2025-06-26T14:19:38.180489265Z
10,10,SI266220200309225433,787,40,2025-06-26T14:19:38.211077084Z
11,11,SI266220200309225433,0,35,2025-06-26T14:19:38.308266457Z
12,12,SI266220200309225433,5,37,2025-06-26T14:19:38.400297985Z
13,13,SI266220200309225433,0,45,2025-06-26T14:19:38.448242611Z
14,14,SI266220200309225433,0,58,2025-06-26T14:19:38.540986060Z
15,15,SI266220200309225433,0,34,2025-06-26T14:19:38.651113134Z
16,0,SI266220200309225433,0,49,2025-06-26T14:19:38.743414016Z
17,1,SI266220200309225433,0,19,2025-06-26T14:19:38.799973325Z
18,2,SI266220200309225433,0,14,2025-06-26T14:19:38.822796873Z
19,3,SI266220200309225433,348,21,2025-06-26T14:19:38.859910259Z
20,4,SI266220200309225433,0,43,2025-06-26T14:19:38.927769960Z
21,5,SI266220200309225433,0,51,2025-06-26T14:19:39.018460655Z
22,6,SI266220200309225433,0,42,2025-06-26T14:19:39.083835600Z
23,7,SI266220200309225433,298,37,2025-06-26T14:19:39.150102794Z
24,8,SI266220200309225433,0,40,2025-06-26T14:19:39.248459809Z
25,9,SI266220200309225433,0,47,2025-06-26T14:19:39.347081375Z
26,10,SI266220200309225433,0,47,2025-06-26T14:19:39.406988333Z
27,11,SI266220200309225433,0,36,2025-06-26T14:19:39.514310882Z
28,12,SI266220200309225433,0,38,2025-06-26T14:19:39.620560575Z
29,13,SI266220200309225433,0,39,2025-06-26T14:19:39.670730570Z
30,14,SI266220200309225433,0,38,2025-06-26T14:19:39.744957194Z
31,15,SI266220200309225433,0,33,2025-06-26T14:19:39.834397922Z
32,0,SI266220200309225433,0,35,2025-06-26T14:19:39.917029203Z
33,1,SI266220200309225433,0,46,2025-06-26T14:19:40.002064886Z
34,2,SI266220200309225433,0,14,2025-06-26T14:19:40.229089224Z
35,3,SI266220200309225433,1253,7,2025-06-26T14:19:40.383214230Z
36,4,SI266220200309225433,0,8,2025-06-26T14:19:40.448614581Z
37,5,SI266220200309225433,0,9,2025-06-26T14:19:40.546724881Z
38,6,SI266220200309225433,0,10,2025-06-26T14:19:40.663808178Z
39,7,SI266220200309225433,113,7,2025-06-26T14:19:40.715085056Z
40,8,SI266220200309225433,0,8,2025-06-26T14:19:40.783259394Z
41,9,SI266220200309225433,0,11,2025-06-26T14:19:40.829655797Z
42,10,SI266220200309225433,0,10,2025-06-26T14:19:40.858128157Z
43,11,SI266220200309225433,0,8,2025-06-26T14:19:40.926600901Z
44,12,SI266220200309225433,0,8,2025-06-26T14:19:40.988530085Z
45,13,SI266220200309225433,0,9,2025-06-26T14:19:41.024830632Z
46,14,SI266220200309225433,0,8,2025-06-26T14:19:41.056164177Z
47,15,SI266220200309225433,0,8,2025-06-26T14:19:41.101322696Z
48,0,SI266220200309225433,0,10,2025-06-26T14:19:41.145232532Z
49,1,SI266220200309225433,0,32,2025-06-26T14:19:41.191347448Z
50,2,SI266220200309225433,77,39,2025-06-26T14:19:41.274626314Z
51,3,SI266220200309225433,6667,38,2025-06-26T14:19:41.448105183Z
52,4,SI266220200309225433,0,62,2025-06-26T14:19:41.658897163Z
53,5,SI266220200309225433,129,23,2025-06-26T14:19:41.767772434Z
54,6,SI266220200309225433,0,10,2025-06-26T14:19:41.819792584Z
55,7,SI266220200309225433,2895,15,2025-06-26T14:19:41.933983680Z
56,8,SI266220200309225433,0,65,2025-06-26T14:19:42.169368331Z
57,9,SI266220200309225433,358,20,2025-06-26T14:19:42.326000429Z
58,10,SI266220200309225433,4,9,2025-06-26T14:19:42.375270857Z
59,11,SI266220200309225433,0,17,2025-06-26T14:19:42.472741755Z
60,12,SI266220200309225433,0,11,2025-06-26T14:19:42.549305573Z
61,13,SI266220200309225433,0,13,2025-06-26T14:19:42.591127829Z
62,14,SI266220200309225433,0,13,2025-06-26T14:19:42.629445196Z
63,15,SI266220200309225433,0,39,2025-06-26T14:19:42.718718995Z
64,0,SI266220200309225433,0,45,2025-06-26T14:19:42.866126120Z
65,1,SI266220200309225433,0,39,2025-06-26T14:19:42.992018309Z
66,2,SI266220200309225433,0,46,2025-06-26T14:19:43.085146333Z
67,3,SI266220200309225433,268,37,2025-06-26T14:19:43.285954492Z
68,4,SI266220200309225433,0,13,2025-06-26T14:19:43.464750999Z
69,5,SI266220200309225433,0,15,2025-06-26T14:19:43.515693317Z
70,6,SI266220200309225433,0,24,2025-06-26T14:19:43.604740659Z
71,7,SI266220200309225433,91,20,2025-06-26T14:19:43.730087736Z
72,8,SI266220200309225433,0,38,2025-06-26T14:19:43.933423116Z
73,9,SI266220200309225433,0,48,2025-06-26T14:19:44.101225984Z
74,10,SI266220200309225433,0,43,2025-06-26T14:19:44.198891105Z
75,11,SI266220200309225433,0,14,2025-06-26T14:19:44.370336332Z
76,12,SI266220200309225433,0,8,2025-06-26T14:19:44.424347888Z
77,13,SI266220200309225433,0,9,2025-06-26T14:19:44.463865088Z
78,14,SI266220200309225433,0,10,2025-06-26T14:19:44.500087483Z
79,15,SI266220200309225433,0,8,2025-06-26T14:19:44.553240953Z
80,0,SI266220200309225433,0,10,2025-06-26T14:19:44.611135913Z
81,1,SI266220200309225433,0,12,2025-06-26T14:19:44.638206519Z
82,2,SI266220200309225433,0,13,2025-06-26T14:19:44.677537916Z
83,3,SI266220200309225433,396,35,2025-06-26T14:19:44.801383133Z
