batch_id,tile_id,print_id,saturated,latency_ms,timestamp
0,0,SI266220200309225433,0,8,2025-06-27T14:28:46.431557521Z
1,1,SI266220200309225433,0,14,2025-06-27T14:28:46.445623242Z
2,2,SI266220200309225433,0,4,2025-06-27T14:28:46.474021942Z
3,3,SI266220200309225433,5639,7,2025-06-27T14:28:46.486617034Z
4,4,SI266220200309225433,668,5,2025-06-27T14:28:46.501618066Z
5,5,SI266220200309225433,0,6,2025-06-27T14:28:46.514110576Z
6,6,SI266220200309225433,0,6,2025-06-27T14:28:46.528801971Z
7,7,SI266220200309225433,4555,4,2025-06-27T14:28:46.542279761Z
8,8,SI266220200309225433,0,5,2025-06-27T14:28:46.549695287Z
9,9,SI266220200309225433,1712,5,2025-06-27T14:28:46.563092467Z
10,10,SI266220200309225433,787,6,2025-06-27T14:28:46.575828672Z
11,11,SI266220200309225433,0,4,2025-06-27T14:28:46.590506031Z
12,12,SI266220200309225433,5,5,2025-06-27T14:28:46.603636270Z
13,13,SI266220200309225433,0,5,2025-06-27T14:28:46.615133835Z
14,14,SI266220200309225433,0,7,2025-06-27T14:28:46.632707444Z
15,15,SI266220200309225433,0,4,2025-06-27T14:28:46.648493646Z
16,0,SI266220200309225433,0,4,2025-06-27T14:28:46.661371829Z
17,1,SI266220200309225433,0,5,2025-06-27T14:28:46.674032063Z
18,2,SI266220200309225433,0,5,2025-06-27T14:28:46.687231428Z
19,3,SI266220200309225433,348,5,2025-06-27T14:28:46.710648911Z
20,4,SI266220200309225433,0,15,2025-06-27T14:28:46.725583114Z
21,5,SI266220200309225433,0,6,2025-06-27T14:28:46.750354585Z
22,6,SI266220200309225433,0,6,2025-06-27T14:28:46.765751558Z
23,7,SI266220200309225433,298,5,2025-06-27T14:28:46.779782384Z
24,8,SI266220200309225433,0,5,2025-06-27T14:28:46.793989944Z
25,9,SI266220200309225433,0,7,2025-06-27T14:28:46.808013795Z
26,10,SI266220200309225433,0,7,2025-06-27T14:28:46.824151847Z
