batch_id,tile_id,print_id,saturated,latency_ms,timestamp
0,0,SI266220200309225433,0,32,2025-06-27T14:27:24.506374828Z
5,5,SI266220200309225433,0,34,2025-06-27T14:27:24.510930402Z
1,1,SI266220200309225433,0,34,2025-06-27T14:27:24.507975467Z
4,4,SI266220200309225433,668,26,2025-06-27T14:27:24.510235060Z
2,2,SI266220200309225433,0,31,2025-06-27T14:27:24.508663899Z
3,3,SI266220200309225433,5639,40,2025-06-27T14:27:24.509699987Z
6,6,SI266220200309225433,0,29,2025-06-27T14:27:24.513624638Z
7,7,SI266220200309225433,4555,104,2025-06-27T14:27:24.514136576Z
12,12,SI266220200309225433,5,99,2025-06-27T14:27:24.516629795Z
8,8,SI266220200309225433,0,107,2025-06-27T14:27:24.514533136Z
9,9,SI266220200309225433,1712,115,2025-06-27T14:27:24.515150826Z
10,10,SI266220200309225433,787,123,2025-06-27T14:27:24.515798773Z
11,11,SI266220200309225433,0,101,2025-06-27T14:27:24.516272217Z
15,15,SI266220200309225433,0,53,2025-06-27T14:27:24.625581610Z
18,2,SI266220200309225433,0,60,2025-06-27T14:27:24.629842158Z
19,3,SI266220200309225433,348,57,2025-06-27T14:27:24.630750164Z
16,0,SI266220200309225433,0,53,2025-06-27T14:27:24.627906571Z
17,1,SI266220200309225433,0,54,2025-06-27T14:27:24.629046253Z
14,14,SI266220200309225433,0,60,2025-06-27T14:27:24.622563074Z
13,13,SI266220200309225433,0,125,2025-06-27T14:27:24.517240428Z
21,5,SI266220200309225433,0,97,2025-06-27T14:27:24.632045184Z
26,10,SI266220200309225433,0,45,2025-06-27T14:27:24.675478154Z
22,6,SI266220200309225433,0,108,2025-06-27T14:27:24.634747227Z
25,9,SI266220200309225433,0,98,2025-06-27T14:27:24.670994496Z
20,4,SI266220200309225433,0,167,2025-06-27T14:27:24.631351586Z
24,8,SI266220200309225433,0,66,2025-06-27T14:27:24.668544085Z
23,7,SI266220200309225433,298,62,2025-06-27T14:27:24.666955910Z
31,15,SI266220200309225433,0,90,2025-06-27T14:27:24.733772395Z
27,11,SI266220200309225433,0,134,2025-06-27T14:27:24.679490634Z
34,2,SI266220200309225433,0,91,2025-06-27T14:27:24.739917840Z
33,1,SI266220200309225433,0,75,2025-06-27T14:27:24.738434388Z
29,13,SI266220200309225433,0,85,2025-06-27T14:27:24.713785471Z
28,12,SI266220200309225433,0,262,2025-06-27T14:27:24.685145980Z
30,14,SI266220200309225433,0,214,2025-06-27T14:27:24.728547032Z
32,0,SI266220200309225433,0,207,2025-06-27T14:27:24.736417663Z
36,4,SI266220200309225433,0,133,2025-06-27T14:27:24.793640006Z
43,11,SI266220200309225433,0,27,2025-06-27T14:27:24.945009504Z
38,6,SI266220200309225433,0,140,2025-06-27T14:27:24.808180067Z
40,8,SI266220200309225433,0,31,2025-06-27T14:27:24.938757995Z
