query,parallelism,optimization,count,avg_latency_ms,max_latency_ms,elapsed_ms,throughput_events_per_sec
Q1,1,noopt,3600,22.87,182,84055,42.83
Q2,1,noopt,3600,41.32,222,84065,42.82
Q3,1,noopt,3600,45.56,226,83973,42.87
Q1,2,noopt,3600,86.26,244,62030,58.04
Q3,2,noopt,3600,151.06,360,62023,58.04
Q2,2,noopt,3600,145.64,361,62022,58.04
Q1,3,noopt,3600,83.02,254,38877,92.60
Q3,3,noopt,3600,158.07,440,38873,92.61
Q2,3,noopt,3600,151.95,440,38893,92.56
Q1,4,noopt,3600,95.58,379,34950,103.00
Q3,4,noopt,3600,164.03,488,34915,103.11
Q2,4,noopt,3600,159.49,485,34927,103.07
Q1,5,noopt,3600,106.62,430,36172,99.52
Q3,5,noopt,3600,196.56,586,36113,99.69
Q2,5,noopt,3600,190.95,570,36124,99.66
Q1,6,noopt,3600,120.98,464,32935,109.31
Q2,6,noopt,3600,198.79,704,32875,109.51
Q3,6,noopt,3600,206.40,715,32875,109.51
Q1,7,noopt,3600,127.01,622,36713,98.06
Q2,7,noopt,3600,230.61,791,36679,98.15
Q3,7,noopt,3600,237.66,795,36678,98.15
Q1,8,noopt,3600,126.21,488,30291,118.85
Q3,8,noopt,3600,208.14,670,30225,119.11
Q2,8,noopt,3600,198.22,663,30252,119.00
Q1,1,opt,3600,21.27,81,78280,45.99
Q2,1,opt,3600,38.07,113,78287,45.98
Q3,1,opt,3600,42.28,119,78302,45.98
Q1,2,opt,3600,96.01,293,59009,61.01
Q2,2,opt,3600,152.52,538,59012,61.00
Q3,2,opt,3600,159.20,536,59004,61.01
Q1,3,opt,3600,87.87,268,39851,90.34
Q2,3,opt,3600,154.34,441,39823,90.40
Q3,3,opt,3600,160.99,447,39813,90.42
Q1,4,opt,3600,76.78,247,31562,114.06
Q3,4,opt,3600,139.92,445,31527,114.19
Q2,4,opt,3600,135.52,444,31538,114.15
Q1,5,opt,3600,106.79,445,34285,105.00
Q3,5,opt,3600,191.02,595,34210,105.23
Q2,5,opt,3600,185.50,586,34232,105.16
Q1,6,opt,3600,102.89,395,29813,120.75
Q3,6,opt,3600,180.36,470,29789,120.85
Q2,6,opt,3600,172.74,432,29806,120.78
Q1,7,opt,3600,122.83,457,32912,109.38
Q2,7,opt,3600,214.97,738,32887,109.47
Q3,7,opt,3600,222.98,739,32897,109.43
Q1,8,opt,3600,117.97,440,28611,125.83
Q3,8,opt,3600,198.46,623,28498,126.32
Q2,8,opt,3600,190.47,624,28562,126.04
