query,parallelism,batches_processed,avg_latency_ms,max_latency_ms,throughput_events_per_sec
Q1,1,3600,4.70,40.00,212.75
Q2,1,3600,11.24,40.00,88.95
Q3,1,3600,0.19,25.00,5278.59
Q1,2,3600,4.93,49.00,405.22
Q2,2,3600,11.19,69.00,178.59
Q3,2,3600,0.02,8.00,112500.00
Q1,3,3600,5.35,50.00,559.79
Q2,3,3600,12.23,76.00,245.05
Q3,3,3600,0.08,9.00,39560.44
Q1,4,3600,5.46,59.00,731.26
Q2,4,3600,10.30,46.00,388.10
Q3,4,3600,0.02,16.00,200000.00
Q1,5,3600,6.30,40.00,792.60
Q2,5,3600,13.96,68.00,357.71
Q3,5,3600,0.26,88.00,19148.94
Q1,6,3600,6.57,73.00,911.16
Q2,6,3600,13.82,104.00,433.37
Q3,6,3600,0.05,9.00,128571.43
Q1,7,3600,6.79,65.00,1027.40
Q2,7,3600,15.38,75.00,453.57
Q3,7,3600,0.26,22.00,26666.67
Q1,8,3600,6.87,73.00,1161.29
Q2,8,3600,12.25,59.00,651.35
Q3,8,3600,0.01,4.00,720000.00
