seq_id,print_id,tile_id,P1,δP1,P2,δP2,P3,δP3,P4,δP4,P5,δP5
0,SI266220200309225433,0,,,,,,,,,,
1,SI266220200309225433,1,,,,,,,,,,
2,SI266220200309225433,2,,,,,,,,,,
3,SI266220200309225433,3,,,,,,,,,,
4,SI266220200309225433,4,,,,,,,,,,
5,SI266220200309225433,5,,,,,,,,,,
6,SI266220200309225433,6,,,,,,,,,,
7,SI266220200309225433,7,,,,,,,,,,
8,SI266220200309225433,8,,,,,,,,,,
9,SI266220200309225433,9,,,,,,,,,,
10,SI266220200309225433,10,,,,,,,,,,
11,SI266220200309225433,11,,,,,,,,,,
12,SI266220200309225433,12,,,,,,,,,,
13,SI266220200309225433,13,,,,,,,,,,
14,SI266220200309225433,14,,,,,,,,,,
15,SI266220200309225433,15,,,,,,,,,,
16,SI266220200309225433,0,,,,,,,,,,
17,SI266220200309225433,1,,,,,,,,,,
18,SI266220200309225433,2,,,,,,,,,,
19,SI266220200309225433,3,,,,,,,,,,
20,SI266220200309225433,4,,,,,,,,,,
21,SI266220200309225433,5,,,,,,,,,,
22,SI266220200309225433,6,,,,,,,,,,
23,SI266220200309225433,7,,,,,,,,,,
24,SI266220200309225433,8,,,,,,,,,,
25,SI266220200309225433,9,,,,,,,,,,
26,SI266220200309225433,10,,,,,,,,,,
27,SI266220200309225433,11,,,,,,,,,,
28,SI266220200309225433,12,,,,,,,,,,
29,SI266220200309225433,13,,,,,,,,,,
30,SI266220200309225433,14,,,,,,,,,,
31,SI266220200309225433,15,,,,,,,,,,
32,SI266220200309225433,0,,,,,,,,,,
33,SI266220200309225433,1,,,,,,,,,,
34,SI266220200309225433,2,,,,,,,,,,
35,SI266220200309225433,3,"(498,94)",11481,"(498,93)",11025,"(498,95)",9803,"(383,168)",9428,"(499,94)",9403
36,SI266220200309225433,4,"(272,346)",7343,"(271,345)",7310,"(425,369)",7290,"(272,345)",7273,"(425,368)",7248
37,SI266220200309225433,5,,,,,,,,,,
38,SI266220200309225433,6,"(1,252)",6453,,,,,,,,
39,SI266220200309225433,7,"(1,94)",11652,"(1,95)",11170,"(1,93)",10661,"(1,96)",10463,"(1,97)",9850
40,SI266220200309225433,8,"(468,326)",6157,,,,,,,,
41,SI266220200309225433,9,"(169,498)",11962,"(170,498)",11384,"(168,498)",10852,"(167,498)",9209,"(169,497)",9206
42,SI266220200309225433,10,"(169,1)",11429,"(170,1)",11294,"(168,1)",10217,"(161,1)",9596,"(160,1)",9538
43,SI266220200309225433,11,,,,,,,,,,
44,SI266220200309225433,12,,,,,,,,,,
45,SI266220200309225433,13,,,,,,,,,,
46,SI266220200309225433,14,,,,,,,,,,
47,SI266220200309225433,15,,,,,,,,,,
48,SI266220200309225433,0,,,,,,,,,,
49,SI266220200309225433,1,,,,,,,,,,
50,SI266220200309225433,2,"(498,168)",13504,"(498,167)",13127,"(498,169)",12846,"(498,170)",12312,"(498,183)",11909
51,SI266220200309225433,3,"(498,179)",13536,"(498,178)",13163,"(498,167)",13073,"(498,160)",12884,"(498,173)",12864
52,SI266220200309225433,4,"(188,347)",6680,"(187,347)",6589,"(189,347)",6050,,,,
53,SI266220200309225433,5,"(349,469)",13262,"(349,468)",13180,"(348,469)",12338,"(350,469)",12335,"(349,467)",12305
54,SI266220200309225433,6,"(1,167)",14454,"(1,168)",14445,"(1,169)",13574,"(1,166)",12544,"(1,170)",12543
55,SI266220200309225433,7,"(1,148)",13432,"(1,160)",13375,"(1,179)",13237,"(1,173)",13182,"(1,178)",13182
56,SI266220200309225433,8,"(498,314)",6345,"(498,355)",6165,"(498,315)",6078,,,,
57,SI266220200309225433,9,"(81,498)",15744,"(169,498)",15024,"(140,498)",14759,"(82,498)",14714,"(168,498)",14453
58,SI266220200309225433,10,"(104,1)",16192,"(105,1)",15986,"(103,1)",15436,"(106,1)",15260,"(104,2)",15134
59,SI266220200309225433,11,,,,,,,,,,
60,SI266220200309225433,12,"(1,314)",6071,"(1,315)",6045,,,,,,
